,Source,Destination,Flow_Path,Total_Measured_Latency_ms,Total_Geo_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
738,UURWMEA120,DK_TAUNTON_MA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 ->(0.34, N/A)-> UJEWMEC030 -> DK_TAUNTON_MA",3.34,0.64,0.0,1:4QosKto6QAG4o8RKMI2IIGGZud0=,2,False
739,UURWMEA120,DK_TBYHNNAD_PA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(4.0, 1.29)-> UJEWTOB040 -> DK_TBYHNNAD_PA",4.5,1.29,0.0,1:ic3dFNdsiXmjZOI2k/W8vN2HoEw=,3,False
740,UURWMEA120,DK_TEMPE_AZ,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWBCK010 ->(14.63, 6.8)-> UJEWNIS040 ->(2.5, 0.87)-> UJEWLOA030 -> DK_TEMPE_AZ",20.130000000000003,8.309999999999999,0.0,1:qBuYiQTMUnBvQlKQDtBSoIWCXRo=,1,False
741,UURWMEA120,DK_TEWKSBRY_MA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 ->(0.34, N/A)-> UJEWMEC030 -> DK_TEWKSBRY_MA",3.34,0.64,0.0,1:Jn4qwM0aVKXGv0S7fMhy61E7q1I=,3,False
742,UURWMEA120,DK_TINRAFB_OK,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWTIN010 ->(0.35, N/A)-> UJEWTIN030 -> DK_TINRAFB_OK",3.35,0.64,0.0,1:EC86CCEIz5yUclj6D8NsfkYKqzs=,5,True
743,UURWMEA120,DK_TINRAFB_OK,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWTIN010 ->(0.35, N/A)-> UJEWTIN030 ->(0.5, N/A)-> UJEWTIN040 -> DK_TINRAFB_OK",3.85,0.64,0.5,1:PRdNd/M2j6WchkvVb0mBTOKW8kY=,3,True
744,UURWMEA120,DK_TITUSVLL_FL,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 -> [UJP_MESH] -> UJPWBRA010 ->(0.38, N/A)-> UJEWBRA030 ->(6.5, 3.0)-> UJEWJKV030 -> DK_TITUSVLL_FL",7.375,3.18,0.0,1:HQ90oLTjrqjNcb3b1VYduWXVIQo=,2,False
745,UURWMEA120,DK_TORRANCE_CA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWBCK010 ->(14.63, 6.8)-> UJEWNIS040 ->(2.5, 0.87)-> UJEWLOA030 -> DK_TORRANCE_CA",20.130000000000003,8.309999999999999,0.0,1:RJm40AbTtOPM662hmy5e+4awkhI=,1,False
746,UURWMEA120,DK_TULSA_OK,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWTIN010 ->(5.14, 3.35)-> UJEWSNA040 -> DK_TULSA_OK",8.145,3.99,0.0,1:D9GQfyovV81icBAt9TO4foyPxFg=,3,False
747,UURWMEA120,DK_UNDTMNDL_Z1,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 ->(1.66, 0.78)-> UJEWCHT030 ->(0.5, N/A)-> UJEWCHT040 -> DK_UNDTMNDL_Z1",2.6550000000000002,0.96,0.0,1:Gjh9G8U0WojTUNickP9FOtlFlH8=,3,True
748,UURWMEA120,DK_UNDTMNDL_Z1,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWBCK010 ->(1.92, 0.58)-> UJEWCAR030 ->(0.5, 0.08)-> UJEWCHM030 -> DK_UNDTMNDL_Z1",5.415,1.3,2.76,1:8XYfeBe+aDyLl/4sjij8pBALRr0=,3,True
749,UURWMEA120,DK_USACEHRM_PA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.0, 0.82)-> UJEWPHI030 -> DK_USACEHRM_PA",2.5,0.82,0.0,1:56LYNL6vs52cTQ/NPQX0FGVE6ls=,3,False
750,UURWMEA120,DK_VANNUYS_CA,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWBEA010 ->(0.34, N/A)-> UJEWBEA030 ->(0.5, N/A)-> UJEWBEA040 -> DK_VANNUYS_CA",3.8449999999999998,0.64,0.0,1:4j3AH1WlpemPQStmjozrbOAb2MI=,3,False
751,UURWMEA120,DK_WACO_TX,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 -> [UJP_MESH] -> UJPWTIN010 ->(5.14, 3.35)-> UJEWSNA040 -> DK_WACO_TX",8.145,3.99,0.0,1:VXNQHM8tz3tvlrAnP/L0d5BgNeM=,3,False
752,UURWMEA120,DK_WAYNE_NJ,"UURWMEA120 -> UJEWMEA030 ->(0.5, N/A)-> UJEWMEA040 ->(2.5, 0.64)-> UJPWMEC010 ->(0.34, N/A)-> UJEWMEC030 -> DK_WAYNE_NJ",3.34,0.64,0.0,1:AbWAFZzjlf2tYkxzBrqGxnCrJs0=,3,False
753,UURWMEA120,DK_WESTON_FL,"UURWMEA120 -> UJEWMEA030 ->(0.5, 0.18)-> UJPWPNT010 -> [UJP_MESH] -> UJPWBRA010 ->(0.38, N/A)-> UJEWBRA030 ->(6.5, 3.0)-> UJEWJKV030 -> DK_WESTON_FL",7.375,3.18,0.0,1:DhbgWZwZBZZ3bsy6zV5CtCSw/Ys=,2,False
